因蛋白質的食物富含胺基酸和肌酸，在高溫烹煮後會有致癌性高的多環芳香烴出現，應避免讓肉在火焰中直接暴露。,3
高蛋白質含量食品含有胺基酸和肌酸遇高溫之分解會產生致癌性更高物質甚至罹癌，正確的料理肉類食品才是健康根本。,3
肉類屬於高蛋白質食物，富含胺基酸和肌酸，但是經過高於150°C的過度烹煮．反而成為致癌食物，能避免過量攝取，才是健康王道。,3
高蛋白質含量食物富含胺基酸和肌酸，在高溫烹煮下產生致癌性高的多環芳香烴，比起燒烤油炸，國人應均衡飲食。,3
高蛋白物質富含胺基酸和肌酸，在高溫且長時間加溫下會產生致癌性高的物質。應避免過量攝取肉類或加工食品，均衡攝取。,3
高蛋白質含量的食物因含有胺基酸及肌酸，導致在高溫烹煮下易產生致癌物，應避免直接火烤並過量攝取。,3
高蛋白質食物，因富含胺基酸和肌酸，在高溫烹煮時會分解、變性產生異環胺，希望國人均衡飲食，減少肉類攝取。,3
高蛋白質食物在高溫烹煮時容易產生致癌性高的物質。避免長時間高溫烹煮及暴露於火焰中可有效避免。,3
高蛋白質食物在高溫烹煮時會產生異環胺，時間長可能產生多環芳香烴，提高致癌風險。避免肉暴露在火中，並均衡營養。,3
含高蛋白質的食材若經長時高溫料理，則易產生致癌物，如果可以以其它方式減少烹調時間，並均衡攝取怎相對健康。,3
高蛋白質的食物經高溫烹煮，會產生致癌物質，避免攝取過多肉類或加工食品，營養均衡，才是健康王道。,3
此文主要傳遞為高蛋白質含量的食物經過高溫會產生異環胺和多環芳香烴，經過代謝致癌風險高，建議少攝取．均衡飲食為主要之道。,3
富含胺基酸和肌酸等高蛋白食物在高溫烹煮時會產生致癌性高的物質，我們應該均衡攝取營養才是重要的。,3
這篇文章想傳達的是均衡健康飲食，從一開始的蛋白質變質到致癌再到最後一段的避免過量攝取肉類或加工食品，然後強調均衡攝取營養，才是健康王道。,3
高蛋白質含量的食物因富含胺基酸和肌酸，在高溫炙燒下，易致癌，因此需避免攝取過量煙燻肉品及加工品。,3
富含胺基酸和肌酸的高蛋白質在高溫下會分解或變性而產生異環胺，甚至是多環芳香烴，因此要避免大量燒烤以防治癌。,3
高蛋白質含量的食物在高溫下烹主所產生的異環胺和多環芳香烴易致癌，避免過量攝取肉類或加工食品，均衡攝取營養。,3
高蛋白質在溫度高的情況下，產生致癌性高的多環芳香烴，應避免過量攝取肉類或加工食品，均衡攝取營養。,3
高蛋白質含量的食物，在高於150°C的溫度烹煮會分解或變性產生異環胺，提高罹患大腸癌的風險，應避免烤焦，均衡攝取營養。,3
高蛋白質含量的食物因富含胺基酸和肌酸，高溫烹煮下會產生異環胺、多環芳香烴，所以要減少高溫烹煮時間。,3
高蛋白質的食物，因富含胺基酸和肌酸，在高溫烹煮下，易產生致癌性的化學物質，故避免高溫烹煮或攝取肉類。,3
高蛋白質的食物富含胺基酸和肌酸，在烹煮時會分解或變性產生異環胺與多環芳香烴，都是致癌性物質，要避免攝取過量。,3
牛、豬、魚、等高蛋白之食物因富含胺基酸及肌酸，在高溫烹煮，致燒下會提升致癌性，而均衡攝取營養才是王道。,3
呼籲大家因牛、豬、魚、雞肉等富含胺基酸和肌酸，在高溫下，會產出傷害人體的物質，建議少量攝取油炸，燒烤等食品。,3
高蛋質含量的食物，富含胺基酸和肌酸在高溫烹煮時，會分解或變性產生致癌物質，減少攝取肉或加工食品，才是健康。,3
高蛋白質的食物富含胺基酸和肌酸，在高溫烹調下會致癌。可藉由減少高溫烹調肉類的時間來降低致癌物質生成。,3
高蛋白含量的食物含胺基酸和肌酸，而溫度越高，加溫時間越長，蛋白質會分解或變性產生異環胺，而異致癌應減少高溫烹調來避開。,3
高蛋白質含量的食物，富含的胺基酸和肌酸在高於150°c高溫下容易產生致癌物。我們應該避免肉類長時間在高溫下烹煮和適當攝取肉類。,3
高蛋白質含量的食物富含胺基酸和肌酸，因此經過高溫烹煮時容易產生異環胺，甚至會產生致癌物質，所以我們應適當攝取。,3
高蛋白質的食物富含胺基酸和肌酸，在高於一百五十度甚至更高溫度烹煮，會產生致癌性高的物質，要避免高溫烹煮及攝取過多肉類及蛋白質。,3
胺基酸和肌酸在高溫烹煮時，可能破壞去氧核糖核酸，因而致癌，所以要減少高溫烹煮時間，並均衡飲食，才是健康王道。,3
(1)因蛋白質含有胺基酸和肌酸，所以高溫會產生致癌性高的多環芳香烴，應避免長時間在高溫下烹煮及避免攝取加工食品。,3
高蛋白質含量的食物富含胺基酸及肌酸，高溫燒炙產生致癌性的物質，大量攝取會有罹癌的風險，應適當攝取。,3
高蛋白質含量的食物因富含胺基酸和肌酸，易因高溫的燒烤及油炸等方式產生致癌物質，應避免過量攝取。,3
高蛋白食物因富含胺基酸和肌酸，分解後導致異環胺生成，異環胺會致癌。要減少致癌機率少攝取加工食品，均衡飲食。,3
高蛋白質含量的食物，含胺基酸和肌酸，高溫烹煮產生致癌物，提高罹癌風險，所以因避免長時間烹煮。,3
高蛋白質含量的食物，在高溫烹煮時，蛋白質會分解並產生異環胺，甚至產生致癌物避免加工食品才是王道。,3
蛋白質含量高的食物在高溫下長時間烹煮易產生致癌性物質，因此需避免將肉類等食物長期在高溫中烹煮，且避免過量攝取。,3
說明如牛、豬、雞、魚等高蛋白質的肉類，高溫烹煮時可能產生致癌物質，提醒民眾避免攝取過多致癌物質。,3
高蛋白質含量的食物在溫度越高、加溫時間越長的環境下易產生致癌物，若大量攝取會提高罹患大腸癌的風險。,3
本文主要傳遞的訊息為：高蛋白含量的食物因含有胺基酸和肌酸，受熱會產生致癌物質，因此要避免過度食用。,3
高蛋白質含量的食物因富含胺基酸和肌酸，於高溫時易變性，會形成有害物質增加致癌機率，所以盡量避免過量攝取。,3
